date,pricePerSquareMeter,price,size,floor,numberOfRooms,location,address,type
22 feb 2017,111 628 kr/m²,4 800 000 kr,43 m²,3 tr,2 rum,Vasastan,Odengatan 30,Lägenhet
22 feb 2017,100 244 kr/m²,4 110 000 kr,41 m²,3 tr,1 rum,Vasastan,Västmannagatan 86,Lägenhet
22 feb 2017,106 250 kr/m²,8 075 000 kr,76 m²,3 tr,3 rum,Vasastan,Norrtullsgatan 25C,Lägenhet
22 feb 2017,105 303 kr/m²,3 475 000 kr,33 m²,2 tr,1 rum,Vasastan,Väringgatan 27,Lägenhet
22 feb 2017,125 806 kr/m²,3 900 000 kr,31 m²,4 tr,2 rum,Birkastan,Norrbackagatan 60,Lägenhet
22 feb 2017,129 808 kr/m²,3 375 000 kr,26 m²,1 tr,1 rum,Vasastan,Gästrikegatan 9,Lägenhet
22 feb 2017,106 364 kr/m²,4 680 000 kr,44 m²,3 tr,2 rum,Vasastan,Gästrikegatan 11,Lägenhet
22 feb 2017,98 333 kr/m²,4 720 000 kr,48 m²,1 tr,2 rum,Vasastan,Markvardsgatan 11,Lägenhet
21 feb 2017,86 591 kr/m²,3 810 000 kr,44 m²,1 tr,2 rum,Vasastan,Roslagsgatan 27,Lägenhet
20 feb 2017,110 000 kr/m²,3 630 000 kr,33 m²,4 tr,1 rum,Vasastan,Robert Almströmsgatan 3,Lägenhet
20 feb 2017,91 304 kr/m²,6 300 000 kr,69 m²,3 tr,3 rum,Vasastan,Robert Almströmsgatan 5,Lägenhet
19 feb 2017,83 197 kr/m²,5 075 000 kr,61 m²,3 tr,2 rum,Vasastan,Vulcanusgatan 1,Lägenhet
17 feb 2017,111 798 kr/m²,9 950 000 kr,89 m²,4 tr,3 rum,Vasastan,Sigtunagatan 10,Lägenhet
17 feb 2017,114 706 kr/m²,11 700 000 kr,102 m²,5 tr,3½ rum,Vasastan,Roslagsgatan 8,Lägenhet
17 feb 2017,92 742 kr/m²,5 750 000 kr,62 m²,3 tr,2 rum,Vasastan,Norrbackagatan 22,Lägenhet
17 feb 2017,110 133 kr/m²,4 130 000 kr,38 m²,1 tr,2 rum,Vasastan,Teknologgatan 9C,Lägenhet
17 feb 2017,110 135 kr/m²,4 075 000 kr,37 m²,4 tr,1 rum,Vasastan,Tulegatan 28,Lägenhet
17 feb 2017,79 885 kr/m²,6 950 000 kr,87 m²,3 tr,3 rum,Vasastan,Västmannagatan 50,Lägenhet
17 feb 2017,80 556 kr/m²,5 800 000 kr,72 m²,1 tr,3 rum,Vasastan,Rödabergsgatan 7,Lägenhet
17 feb 2017,96 825 kr/m²,6 100 000 kr,63 m²,5 tr,2½ rum,Birkastan Vasastan,Bråvallagatan 9B,Lägenhet
17 feb 2017,98 889 kr/m²,4 450 000 kr,45 m²,1 tr,2 rum,Vasastan,Sankt Eriksgatan 118,Lägenhet
17 feb 2017,82 192 kr/m²,6 000 000 kr,73 m²,3 tr,2½ rum,Vasastan,Hagagatan 44,Lägenhet
17 feb 2017,92 169 kr/m²,7 650 000 kr,83 m²,3 tr,3 rum,Vasastan,Frejgatan 47,Lägenhet
16 feb 2017,90 789 kr/m²,8 625 000 kr,95 m²,1 tr,3 rum,Vasastan,Västmannagatan 89,Lägenhet
16 feb 2017,96 528 kr/m²,6 950 000 kr,72 m²,1 tr,3 rum,Vasastan,Tulegatan 5A,Lägenhet
16 feb 2017,104 167 kr/m²,10 000 000 kr,96 m²,5 tr,4 rum,Vasastan,Rörstrandsgatan 37,Lägenhet
16 feb 2017,114 167 kr/m²,5 480 000 kr,48 m²,1 tr,2 rum,Vasastan,Odengatan 89,Lägenhet
16 feb 2017,90 741 kr/m²,4 900 000 kr,54 m²,1 tr,2 rum,Vasastan,Roslagsgatan 9,Lägenhet
16 feb 2017,114 063 kr/m²,10 950 000 kr,96 m²,4 tr,3½ rum,Vasastan,Eastmansvägen 17,Lägenhet
16 feb 2017,86 873 kr/m²,4 500 000 kr,52 m²,5 tr,2 rum,Vasastan,Norrtullsgatan 38,Lägenhet
16 feb 2017,109 239 kr/m²,5 025 000 kr,46 m²,3 tr,2 rum,Vasastan,Birger Jarlsgatan 110,Lägenhet
16 feb 2017,88 235 kr/m²,6 000 000 kr,68 m²,2 tr,2 rum,Vasastan,Hagagatan 4,Lägenhet
15 feb 2017,93 038 kr/m²,7 350 000 kr,79 m²,3 tr,2½ rum,Vasastan,Roslagsgatan 6,Lägenhet
15 feb 2017,89 041 kr/m²,6 500 000 kr,73 m²,3 tr,2 rum,Vasastan,Sveavägen 117A,Lägenhet
15 feb 2017,126 667 kr/m²,2 660 000 kr,21 m²,3 tr,1 rum,Östermalm,Birger Jarlsgatan 104A,Lägenhet
15 feb 2017,85 656 kr/m²,5 225 000 kr,61 m²,1 tr,2 rum,Vasastan,Roslagsgatan 23B,Lägenhet
15 feb 2017,96 591 kr/m²,8 500 000 kr,88 m²,1 tr,3 rum,Vasastan,Vanadisvägen 30,Lägenhet
15 feb 2017,106 190 kr/m²,4 460 000 kr,42 m²,2 tr,2 rum,Vasastan,Sigtunagatan 1,Lägenhet
15 feb 2017,97 727 kr/m²,4 730 000 kr,48 m²,1 tr,2 rum,Vasastan,Döbelnsgatan 79,Lägenhet
15 feb 2017,93 396 kr/m²,4 950 000 kr,53 m²,4 tr,2 rum,Östermalm,Valhallavägen 14A,Lägenhet
15 feb 2017,103 623 kr/m²,7 150 000 kr,69 m²,4 tr,2 rum,Vasastan,Karlbergsvägen 62,Lägenhet
15 feb 2017,82 645 kr/m²,10 000 000 kr,121 m²,4 tr,4½ rum,Vasastan,Luntmakargatan 71,Lägenhet
14 feb 2017,95 093 kr/m²,10 270 000 kr,108 m²,3 tr,3½ rum,Vasastan,Rörstrandsgatan 17,Lägenhet
14 feb 2017,105 000 kr/m²,6 300 000 kr,60 m²,2 tr,2 rum,Vasastan,Dalagatan 72,Lägenhet
14 feb 2017,98 529 kr/m²,5 025 000 kr,51 m²,5 tr,2 rum,Vasastan,Vanadisvägen 25,Lägenhet
13 feb 2017,118 545 kr/m²,3 260 000 kr,28 m²,1 tr,1 rum,Vasastan,Upplandsgatan 28,Lägenhet
11 feb 2017,91 222 kr/m²,4 105 000 kr,45 m²,5 tr,2 rum,Vasastan,Idungatan 3,Lägenhet
11 feb 2017,91 946 kr/m²,13 700 000 kr,149 m²,3 tr,4 rum,Vasastan,Sankt Eriksgatan 81,Lägenhet
11 feb 2017,96 667 kr/m²,7 250 000 kr,75 m²,5 tr,2 rum,Vasastan,Torsgatan 27,Lägenhet
11 feb 2017,120 063 kr/m²,9 485 000 kr,79 m²,7 tr,3 rum,Vasastan,Ingemarsgatan 4,Lägenhet
11 feb 2017,148 000 kr/m²,2 960 000 kr,20 m²,4 tr,1 rum,Vasastan,Odengatan 49,Lägenhet
10 feb 2017,115 517 kr/m²,3 350 000 kr,29 m²,4 tr,2 rum,Vasastan,Västmannagatan 44,Lägenhet
10 feb 2017,97 260 kr/m²,3 550 000 kr,37 m²,2 tr,2 rum,Vasastan,Upplandsgatan 32,Lägenhet
10 feb 2017,118 095 kr/m²,12 400 000 kr,105 m²,7 tr,4 rum,Vasastan,Ingemarsgatan 4,Lägenhet
10 feb 2017,95 161 kr/m²,5 900 000 kr,62 m²,4 tr,2 rum,Östermalm,Frejgatan 4,Lägenhet
10 feb 2017,84 444 kr/m²,3 800 000 kr,45 m²,1 tr,2 rum,Vasastan,Idungatan 5,Lägenhet
10 feb 2017,103 659 kr/m²,4 250 000 kr,41 m²,2 tr,2 rum,Vasastan,Bråvallagatan 3,Lägenhet
9 feb 2017,99 318 kr/m²,4 370 000 kr,44 m²,3 tr,2 rum,Vasastan,Vulcanusgatan 8,Lägenhet
9 feb 2017,127 358 kr/m²,13 500 000 kr,106 m²,1 tr,4 rum,Norrmalm-Vasastan,Norrtullsgatan 3A,Lägenhet
9 feb 2017,113 095 kr/m²,4 750 000 kr,42 m²,2 tr,2 rum,Vasastan,Sankt Eriksgatan 85B,Lägenhet
9 feb 2017,85 437 kr/m²,8 800 000 kr,103 m²,2 tr,4 rum,Vasastan,Hagagatan 17D,Lägenhet
9 feb 2017,143 571 kr/m²,3 015 000 kr,21 m²,2 tr,1 rum,Vasastan Norrmalm,Luntmakargatan 78,Lägenhet
9 feb 2017,105 238 kr/m²,11 050 000 kr,105 m²,1 tr,4 rum,Vasastan,Västmannagatan 48,Lägenhet
9 feb 2017,101 333 kr/m²,7 600 000 kr,75 m²,3 tr,3 rum,Vasastan,Atlasgatan 1,Lägenhet
9 feb 2017,93 902 kr/m²,3 850 000 kr,41 m²,3 tr,1 rum,Vasastan,Sveavägen 89,Lägenhet
9 feb 2017,135 484 kr/m²,4 200 000 kr,31 m²,4 tr,2 rum,Vasastan,Hälsingegatan 8,Lägenhet
9 feb 2017,72 436 kr/m²,5 650 000 kr,78 m²,1 tr,3 rum,Vasastan,Norrbackagatan 27B,Lägenhet
9 feb 2017,93 860 kr/m²,5 350 000 kr,57 m²,3 tr,2 rum,Vasastan,Sigtunagatan 11,Lägenhet
8 feb 2017,103 889 kr/m²,4 675 000 kr,45 m²,3 tr,2 rum,Birkastan,Tomtebogatan 27,Lägenhet
8 feb 2017,96 795 kr/m²,7 550 000 kr,78 m²,2 tr,3 rum,Vasastan,Hagagatan 22,Lägenhet
8 feb 2017,89 231 kr/m²,5 800 000 kr,65 m²,4 tr,2 rum,Vasastan,Frejgatan 15,Lägenhet
8 feb 2017,101 463 kr/m²,4 160 000 kr,41 m²,3 tr,2 rum,Vasastan,Vulcanusgatan 1,Lägenhet
